name,SMILES,MinPartialCharge,MaxAbsPartialCharge,StdPartialCharge,ChargeRange,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,FormalCharge,Complexity,LogP,MolarRefractivity,RingCount,AromaticRing,HeteroRing,FSP3,delta_PCE
d benzylamine,C1=CC=C(C=C1)CN,-0.326497507,0.326497507,0.096405461,0.34425827,-0.326497507,0.875,5.733667477,0,1,0,1,107.156,26.02,1,1,1,8,0,141.3842989,1.1453,34.3334,1,1,0,0.142857143,0.65
benzamide ,C1=CC=C(C=C1)C(=O)N,-0.365599512,0.365599512,0.163772913,0.613794626,-0.365599512,0.777777778,5.733667477,0,0,1,1,121.139,43.09,1,1,1,9,0,196.538112,0.7855,34.9599,1,1,0,0,0.96
4-fluorobenzamide,C1=CC(=CC=C1C(=O)N)F,-0.365599488,0.365599488,0.173158711,0.613798077,-0.365599488,0.7,5.733667477,0,0,1,1,139.129,43.09,1,1,1,10,0,228.7201524,0.9246,34.9179,1,1,0,0,2.19
4-chlorobenzamide,C1=CC(=CC=C1C(=O)N)Cl,-0.3655995,0.3655995,0.159263699,0.61379636,-0.3655995,0.7,5.733667477,0,0,1,1,155.584,43.09,1,1,1,10,0,228.7201524,1.4389,39.9699,1,1,0,0,1.79
"3,4-Bis(4-bromophenyl)cyclobut-3-ene-1,2-dione",C1=CC(=CC=C1C2=C(C(=O)C2=O)C3=CC=C(C=C3)Br)Br,-0.284820806,0.284820806,0.120386383,0.519264074,-0.284820806,0.7,0,0,0,0,0,392.046,34.14,0,2,2,20,0,748.073148,4.1416,87.626,3,3,0,0,2.38
"2,7-dioctyl[1]benzothieno[3,2-b][1]benzothiophene",CCCCCCCCC1=CC2=C(C=C1)C3=C(S2)C4=C(S3)C=C(C=C4)CCCCCCCC,-0.133601118,0.133601118,0.042133925,0.187761837,0,0.8125,0,0,0,0,0,464.784,0,0,2,14,32,0,1013.634537,11.0752,148.874,4,4,2,0.533333333,2.77
"4,4′-carbonyldiphthalic anhydride",C1=CC2=C(C=C1C(=O)C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,-0.385656692,0.385656692,0.220657741,0.732085222,-0.385656692,0.541666667,9.473725908,23.87722115,0,5,1,322.228,103.81,0,7,2,24,0,899.5930578,1.5388,75.8085,4,2,2,0,2.3
"4,4′(Hexafluoroisopropylidene)diphthalic anhydride",C1=CC2=C(C=C1C(C3=CC4=C(C=C3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)C(=O)OC2=O,-0.385656842,0.410722225,0.227549444,0.796379066,-0.385656842,0.64516129,9.473725908,36.22981819,0,4,1,444.239,86.74,0,6,2,31,0,1058.000083,3.7185,85.266,4,2,2,0.157894737,2.85
barbituric acid,C1C(=O)NC(=O)NC1=O,-0.277316161,0.32759803,0.252683865,0.604914191,-0.277316161,0.555555556,0,6.031114512,0,4,1,128.087,75.27,2,3,0,9,0,127.1931192,-1.2575,26.2984,1,0,1,0.25,1.2
propanedioic acid,C(C(=O)O)C(=O)O,-0.480805908,0.480805908,0.324747621,0.79500759,-0.480805908,0.571428571,10.21305479,11.93861058,0,2,1,104.061,74.6,2,2,2,7,0,76.21143267,-0.4543,19.8886,0,0,0,0.333333333,1.02
