Dipole_Debye,Polarizability_au,HOMO_eV,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,coord_types,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,LogP,RingCount,HeteroRing,FSP3,delta_PCE
4.86,82.694991,-11.6776,0,0.8,0,6.176298517,0,0,0,0,0,2.7054,1,0,0.142857143,1.52
4.262,136.419618,-9.718,-0.383682133,0.8,5.733667477,0,2,1,2,1,1,1.39247,1,0,0,1.18
4.843,101.22076,-11.6027,-0.477049577,0.636363636,10.21305479,11.93861058,0,1,2,3,2,1.1445,1,1,0,3.47
1.22,97.566824,-9.7508,-0.314876444,0.75,5.316788604,0,1,1,1,2,2,1.4675,1,1,0.333333333,1.56
5.234,161.889842,-10.1649,-0.307721816,0.8125,10.63357721,6.031114512,0,1,2,1,2,3.3306,2,0,0,1.4
4.644,129.571314,-10.3063,-0.333558358,0.75,10.63357721,6.031114512,0,1,2,1,0,1.8826,0,0,0.888888889,0.9
5.394,79.036445,-10.956,-0.313849907,0.555555556,4.983978521,5.689743398,0,0,2,2,0,-0.62838,1,1,0.2,1.68
4.142,90.856675,-2.3291,-0.481195255,0.571428571,10.84019487,5.969305288,1,2,2,2,2,0.0378,0,0,0.666666667,1.9
2.989,55.912354,-11.7266,-0.324614,0.6,9.786823206,7.595762327,0,0,2,1,0,-0.2061,0,0,1,1.57
9.493,139.895222,-11.3925,-0.22288152,0.714285714,0,0,8,1,0,8,3,-0.467,2,2,0.5,2.77
1.304,99.338114,-11.2885,-0.192437041,0.666666667,0,0,1,1,0,1,0,2.32078,1,0,0,2.19
2.103,121.187038,-10.4912,-0.480077679,0.470588235,10.84019487,5.969305288,1,2,2,2,3,1.3365,1,0,0.222222222,2.14
14.587,130.012627,-11.1139,-0.199251344,0.692307692,0,0,0,0,0,2,1,1.588,2,1,0.222222222,2.39
6.31,83.183826,-12.0248,-0.313497642,0.583333333,4.983978521,11.86604192,0,0,2,2,0,0.082,1,1,0.2,1
7.336,179.564862,-11.4197,-0.432028447,0.6,9.473725908,5.969305288,0,1,0,5,0,2.3949,5,4,0.933333333,1.57
4.073,237.375673,-11.1707,-0.481218929,0.592592593,19.31711626,11.93861058,0,1,1,7,4,2.6024,5,4,0.894736842,1.48
2.73,182.919709,-10.9259,-0.367604464,0.65,14.5802533,0,0,0,1,5,0,2.1867,5,4,1,-0.06
2.187,34.522963,-11.6906,-0.481433475,0.5,5.106527395,0,0,1,1,1,0,0.0909,0,0,0.5,1.76
2.411,63.18014,-10.1203,-0.264736971,0.666666667,0,0,1,1,0,1,0,1.0816,1,1,0,-0.89
3.552,121.182999,-9.8544,-0.25462112,0.666666667,0,0,2,1,0,2,1,2.1436,2,2,0,1.44
2.11,179.102101,-9.7889,-0.25462064,0.666666667,0,0,3,1,0,3,2,3.2056,3,3,0,1.1
6.647,190.518207,-9.835,-0.298949373,0.833333333,0,0,4,1,2,3,3,3.6719,2,0,0,2.71
1.808,43.678156,-10.438,-0.48029713,0.6,10.84019487,5.969305288,1,2,2,2,1,-0.9703,0,0,0.5,2.07
1.876,97.879884,-11.2099,-0.477639241,0.7,5.106527395,5.969305288,0,1,1,1,1,2.0382,1,0,0,1.99
2.146,73.642937,-11.4873,-0.460101417,0.5,9.843390349,5.969305288,0,1,1,3,3,-0.2921,0,0,0.4,3.6
2.079,113.592842,-10.2495,-0.496768215,0.666666667,9.843390349,5.969305288,0,1,1,2,3,1.3223,1,0,0.222222222,1.35
4.361,61.212522,-10.1086,-0.348825792,0.5,4.983978521,0,1,1,1,1,0,0.71812,1,1,0.25,1.97
0,265.977755,-10.7569,-0.288141672,0.666666667,0,0,0,1,2,4,0,3.5044,7,2,0,2.72
6.892,187.059204,-10.575,-0.337914116,0.684210526,4.983978521,0,1,1,2,3,2,2.4766,3,1,0,2.89
4.535,145.69241,-10.9039,-0.294512186,0.5625,0,0,0,1,0,3,2,1.3186,2,1,0.083333333,2.94
4.587,77.022743,-9.9317,-0.398726079,0.75,5.733667477,0,1,1,1,1,0,1.4079,1,0,0,2.63
5.432,79.835309,-9.7052,-0.387524803,0.666666667,11.46733495,0,2,1,2,2,0,-0.4414,0,0,0,2.48
4.259,85.595921,-10.939,-0.507966219,0.666666667,5.106527395,0,0,1,1,2,1,1.2047,1,0,0,2.05
6.768,184.217431,-10.1678,-0.480086286,0.55,26.58029947,11.93861058,1,2,6,6,9,-2.2061,0,0,0.6,2.19
4.167,92.009365,-10.981,-0.19797459,0.777777778,0,0,1,1,0,1,1,1.75268,1,0,0.125,3.08
4.24,131.984288,-10.2733,-0.197974588,0.846153846,0,0,1,1,0,1,1,2.90588,2,0,0.083333333,2.21
5.782,215.510377,-9.7861,-0.310505919,0.761904762,4.899909731,0,1,2,0,2,4,4.9689,3,0,0,2.43
4.939,143.585738,-10.8067,-0.297896406,0.857142857,0,0,0,1,0,1,2,3.1661,2,0,0,2.08
4.508,154.89845,-10.7119,-0.294512201,0.866666667,0,0,0,1,0,1,2,3.5562,2,0,0.071428571,1.7
7.47,111.602131,-10.3469,-0.398727713,0.727272727,5.733667477,0,1,1,2,3,1,0.5155,1,0,0,2.6
4.731,53.73462,-11.4268,-0.215929171,0.8,0,0,0,0,2,2,0,-1.8514,0,0,0,2.33
4.394,73.396323,-10.4771,-0.481175383,0.555555556,15.94672227,11.93861058,1,2,3,3,3,-1.127,0,0,0.5,2.24
1.505,247.1308,-10.1498,0,0.857142857,0,0,0,0,0,3,3,6.8721,4,3,0,2.9
7.369,165.060719,-11.3768,-0.237185926,0.714285714,0,31.06324331,1,1,0,5,3,1.5872,1,1,0.285714286,2.13
10.338,87.116803,-11.5895,-0.541547015,0.583333333,9.901064579,62.7640217,1,2,2,5,1,-6.1743,1,1,0,2.03
15.163,100.881334,-9.8957,-0.545466972,0.833333333,9.901064579,51.38453491,0,1,0,2,2,-2.5463,1,0,0,3.04
2.823,73.378448,-10.4764,-0.481175383,0.555555556,15.94672227,11.93861058,1,2,3,3,3,-1.127,0,0,0.5,2.1
