Compound_CID,SMILES,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,coord_types,MolecularWeight,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,LogP,RingCount,HeteroRing,FSP3
172661141,CC1=C(C(=O)N(C=C1)C2=CC3=C(C=C2)OCO3)C(=O)NCC4=CN5C=CN=CC5=N4,-0.4535930258484499,0.4666666666666667,19.191209117868222,0.0,4.0,2.0,403.3980000000001,1.0,6.0,4.0,1.84732,5.0,4.0,0.1428571428571428
71840487,CCC(=O)NCC1CCCN(C1)C(=O)NC2=CC=CC=C2Cl,-0.3557684189586362,0.6363636363636364,15.533486938863138,6.031114512338072,0.0,1.0,323.824,2.0,2.0,4.0,3.110100000000001,2.0,1.0,0.5
91921382,CNC(=O)N1CCC(CC1)C2CCN(C2)CC3=CC(=C(C=C3F)F)F,-0.3410598924476319,0.56,10.216698334856808,6.031114512338072,1.0,2.0,355.404,1.0,2.0,3.0,2.9772000000000016,3.0,2.0,0.6111111111111112
24214975,C1=CC2=C(C=CC(=C2)NC(=O)C3=CN=CC=C3)N=C1,-0.3219252067364443,0.5789473684210527,5.316788604006331,0.0,2.0,2.0,249.273,1.0,3.0,2.0,2.8821000000000003,3.0,2.0,0.0
5272341,C1=CC=NC(=C1)CN(CC(=O)NC2=CC=C(C=C2)C3=CSC(=N3)N)C(=O)C4=CC=NC=C4,-0.3751004434825278,0.5625,15.950365812018994,0.0,4.0,2.0,444.52000000000015,2.0,7.0,7.0,3.463400000000001,4.0,3.0,0.0869565217391304
172674117,CC1=C(C(=O)N(C=C1)C2CCNCC2)C(=O)NCCC3=CN4C=CC=NC4=N3,-0.3514622524809702,0.5714285714285714,15.200676855804016,0.0,5.0,2.0,380.45200000000006,2.0,5.0,5.0,1.0964199999999995,4.0,4.0,0.4
172661944,CC1=C(C(=O)N(C=C1)C(C)CN(C)C)C(=O)NC2=CC=C(C=C2)CCN3CCN(CC3)C,-0.3218144364978391,0.625,24.58361744434912,0.0,4.0,2.0,439.6040000000002,1.0,5.0,8.0,2.3215200000000005,3.0,2.0,0.52
155501011,CC1=C(N=CC=C1)C(=O)NC[C@@H]2[C@H]3CC[C@@]4([C@@H]2CN(C4)CCC5=CC=CC=C5)O3,-0.3697050095027156,0.6206896551724138,10.05365155780638,0.0,2.0,2.0,391.51500000000016,1.0,4.0,6.0,2.841920000000001,5.0,4.0,0.5
172664493,CC1=C(C(=O)N(C=C1)C2=CC=CC(=C2)C(C)C)C(=O)NC3=CC=C(C=C3)NC(=O)COC,-0.3748655076009091,0.6875,15.370440161812713,0.0,1.0,2.0,433.50800000000015,2.0,4.0,7.0,4.106520000000002,3.0,1.0,0.24
172674250,CCN1CCC[C@H]1CNC(=O)C2=C(C=CN(C2=O)CC3=CC4=C(C=C3)OCO4)C,-0.4535954748880439,0.6551724137931034,19.357614159397784,0.0,2.0,2.0,397.47500000000025,1.0,5.0,6.0,2.147820000000001,4.0,3.0,0.4545454545454545
26360494,CC1=CC(=O)C(=C(N1CC2=CN=CC=C2)CC3CCCC3)C(=O)NCCCN4C=CN=C4,-0.3517913648709354,0.5625,14.45098789958904,0.0,4.0,2.0,433.55600000000027,1.0,4.0,9.0,3.3493200000000014,4.0,3.0,0.44
172673635,CC1=C(C(=O)N(C=C1)CCC(C)C)C(=O)N(C)CCCN2C(=CC(=N2)C)C,-0.341457532539936,0.6296296296296297,9.467009378641832,0.0,3.0,2.0,372.51300000000015,0.0,3.0,8.0,3.178460000000002,2.0,2.0,0.5714285714285714
826924,CC(C)(C)C1=NC=CC(=C1)C(=O)NC2=CC=CC=C2,-0.3219969816870477,0.6842105263157895,5.316788604006331,0.0,1.0,2.0,254.33300000000003,1.0,2.0,2.0,3.631400000000002,2.0,1.0,0.25
172655432,CC1=C(C(=O)N(C=C1)C(C)CN(C)C)C(=O)N(C)CC2=CC(=CC=C2)SC,-0.3371972492697153,0.6666666666666666,14.366919109492311,0.0,2.0,2.0,387.5490000000001,0.0,4.0,7.0,3.2734200000000016,2.0,1.0,0.4285714285714285
146675104,CC1=CC(=CC(=N1)C(=O)NC2=NC=C(C=C2)F)OC3=CNC(=O)NC3=O,-0.4498464817072363,0.5,15.037630078753589,5.689743398203474,2.0,2.0,357.3010000000001,3.0,6.0,4.0,1.3453199999999996,3.0,3.0,0.0625
172666020,CC1=C(C(=O)N(C=C1)C2=CC=C(C=C2)F)C(=O)NC3=CC=CC(=C3)CCC(=O)N(C)C,-0.3488142639303714,0.6451612903225806,10.216698334856808,0.0,1.0,2.0,421.47200000000026,1.0,3.0,6.0,3.5581200000000024,3.0,1.0,0.2083333333333333
